"FID catalogue Schmidt 2026"|"GEMEINDE"|"KREIS"|"BUNDESLAND"|"LAND"
203|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
204|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
205|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
206|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
207|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
208|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
209|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
210|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
211|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
212|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
213|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
214|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
215|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
216|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
217|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
218|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
219|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
220|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
221|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
222|"Gmina Brześć Kujawski"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
223|"Gmina Włocławek"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
224|"Gmina Włocławek"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
225|"Gmina Włocławek"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
226|"Gmina Włocławek"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
227|"Włocławek"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
228|"Korsze"|"pow. Kętrzyński"|"Woj. Warmińsko-Mazurskie"|"Polen"
230|"Groß Kreutz (Havel)"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
231|"Moryń"|"pow. Gryfiński"|"Woj. Lubuskie"|"Polen"
